OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
913217,04092016286,CHECKERS PIZZA,2810 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 832-6522,2012/11/01 00:00:00+00,Restaurant,3,-78.67445032,35.78959693,M
913218,04092017190,THE FALCON'S NEST AT ST. AUGUSTINE,1315 OAKWOOD AVE ,,RALEIGH,NC,27601,(919) 821-7646,2016/03/28 00:00:00+00,Restaurant,5,-78.61949307,35.78808582,M
913219,04092021875,HL CATERING COMPANY,1012 OBERLIN RD ,,RALEIGH,NC,27605,(919) 675-1854,2015/09/29 00:00:00+00,Food Stand,14,-78.65955263,35.79661923,M
913220,04092016489,SONIC DRIVE IN #6020,1925 S MAIN ST ,,WAKE FOREST,NC,27587,(919) 554-1209,2013/08/20 00:00:00+00,Restaurant,21,-78.52999701,35.94975468,M
913221,04092018247,PIZZA HUT #2020,11010 LAKE GROVE  BLVD ,,MORRISVILLE,NC,27650,(919) 234-0652,2019/12/03 00:00:00+00,Restaurant,23,-78.84707532,35.82315923,M
913222,04092016255,BOTTLE MIXX,8111 CREEDMOOR RD ,STE 153,RALEIGH,NC,27613,(919) 615-1703,2012/09/11 00:00:00+00,Restaurant,24,-78.68248786,35.89850336,M
913223,04092016487,PEACE CHINA,13220 Strickland  RD ,Ste 167,RALEIGH,NC,27613,(919) 676-9968,2013/08/14 00:00:00+00,Restaurant,34,-78.72593809,35.90878313,M
913224,04092015321,SUBWAY #12460,706 W PEACE ST ,,RALEIGH,NC,27605,(919) 834-0605,2009/01/12 00:00:00+00,Restaurant,49,-78.64931864,35.78886208,M
913225,04092017538,PIZZERIA FAULISI,215 E CHATHAM ST ,SUITE 101,CARY,NC,27511,(919) 377-8244,2017/02/21 00:00:00+00,Restaurant,50,-78.77734174,35.78786553,M
913226,04092018307,Szechuan Mansion Restaurant,1353 KILDAIRE FARM RD,,CARY,NC,27511,(919) 800-1802,2020/01/27 00:00:00+00,Restaurant,53,-78.78193974,35.75976658,M
913227,04092018254,Teriyaki Madness,160 SHENSTONE BLVD,,GARNER,NC,27529,,2019/12/02 00:00:00+00,Restaurant,54,-78.58054205,35.69110315,M
913228,04092016152,CLARK DINING HALL,221 JENSEN  DR ,,RALEIGH,NC,27695,(919) 513-4680,2012/02/09 00:00:00+00,Restaurant,57,-78.67872874,35.78448278,M
913229,04092016438,PDQ WAKE FOREST,11690 NORTHPARK DR ,,WAKE FOREST,NC,27587,(919) 648-4221,2013/05/31 00:00:00+00,Restaurant,67,-78.54504471,35.96485726,M
913230,04092017336,GREENWAY BEER AND WINE,7530 RAMBLE WAY ,SUITE 103,RALEIGH,NC,27616,(919) 803-6920,2016/09/27 00:00:00+00,Restaurant,71,-78.537511,35.87630713,M
913231,04092030440,Taco Veloz  (WCID #736),1312 N ARENDELL AVE,,ZEBULON,NC,27597-8732,(914) 497-2580,2019/08/26 00:00:00+00,Mobile Food Units,74,-78.32392727,35.83867806,M
913232,04092021952,COSTCO WHOLESALE #1206 MEAT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 00:00:00+00,Food Stand,75,-78.82726689,35.7464159,M
913233,04092017192,STARBUCKS #19453,185 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 557-3246,2016/04/05 00:00:00+00,Restaurant,78,-78.84948074,35.66266499,M
913234,04092017849,The Melting Pot,3100 Wake Forest RD ,,RALEIGH,NC,27609-7846,(919) 878-0477,2018/05/14 00:00:00+00,Restaurant,82,-78.62038753,35.82333592,M
913235,04092030223,Valentino's (WCID 378),4820 Signett DR ,,RALEIGH,NC,27615,(919) 376-5814,2010/07/09 00:00:00+00,Mobile Food Units,83,-78.58339304,35.85150753,M
913236,04092017541,RISE BISCUITS & DONUTS,169 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 586-7343,2017/03/03 00:00:00+00,Restaurant,98,-78.84948074,35.66266499,M
913237,04092050030,Wake Christian Academy Cafeteria,5500 Wake Academy Dr,,RALEIGH,NC,27603,(919) 772-6264,2018/08/03 00:00:00+00,Private School Lunchrooms,100,-78.67165429,35.70444604,M
913238,04092016891,DUNKIN' DONUTS #348417,3817 WESTERN BLVD ,,RALEIGH,NC,27606,(919) 858-6501,2015/04/08 00:00:00+00,Restaurant,108,-78.68893912,35.78436913,M
913239,04092016164,RUCKUS PIZZA PASTA & SPIRITS #3,1101 MARKET CENTER  DR ,,MORRISVILLE,NC,27560,(919) 388-3500,2012/04/19 00:00:00+00,Restaurant,110,-78.81676023,35.80454378,M
913240,04092022031,CARVEL,5959 TRIANGLE TOWN BLVD ,,RALEIGH,NC,27616,(919) 449-0072,2017/08/30 00:00:00+00,Food Stand,111,-78.57603863,35.86599856,M
913241,04092016264,THE YARD HOUSE #41,4208 SIX FORKS  RD ,C110,RALEIGH,NC,27609,(919) 881-2590,2012/09/21 00:00:00+00,Restaurant,116,-78.63994726,35.83691426,M
913242,04092017271,WENDY'S #6335,4510 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 661-0711,2016/08/17 00:00:00+00,Restaurant,117,-78.65542454,35.71891124,M
913243,04092160080,ZEBULON REHABILITATION CENTER FOOD SERVICE,509 W GANNON AVE.,,ZEBULON,NC,27597,,2014/06/04 00:00:00+00,Institutional Food Service,138,-78.32569568,35.81964939,M
913244,04092017193,CRAFTY BEER SHOP,8450 HONEYCUTT RD ,Suite 108,RALEIGH,NC,27615,(919) 703-0874,2016/04/05 00:00:00+00,Restaurant,142,-78.62166097,35.89510574,M
913245,04092018366,Flying Mayan #1,319 Fayetteville ST ,Suite 105,RALEIGH,NC,27601,(919) 615-1574,2020/05/14 00:00:00+00,Restaurant,183,-78.63879706,35.77609243,M
913246,04092030485,Dubz Grub (WCID #775),2201 S WILMINGTON ST,,RALEIGH,NC,27603-2559,(919) 539-6022,2020/07/06 00:00:00+00,Mobile Food Units,190,-78.63902655,35.752054,M
913247,04092018378,Pleasant Grove Church,1528 Davis DR ,,CARY,NC,27519,(919) 363-5198,2020/05/29 00:00:00+00,Restaurant,211,-78.84348956,35.76990031,M
913248,04092017534,YUMMY HIBACHI,"7110 KNIGHTDALE BLVD, STE P",,KNIGHTDALE,NC,27545,(919) 373-0325,2017/03/09 00:00:00+00,Restaurant,214,-78.48999453,35.79638911,M
913249,04092025272,Harris Teeter #496 Meat/Seafood,940 US 64 HWY W,,APEX,NC,27523-7184,,2019/07/15 00:00:00+00,Food Stand,218,-78.82197042,35.74562504,M
913250,04092015443,MoonRunners Saloon,1506 US 70 HWY W ,,GARNER,NC,27529,(919) 662-5119,2009/08/12 00:00:00+00,Restaurant,219,-78.64623771,35.72377782,M
913251,04092021744,LITTLE TOKYO,5959 TRIANGLE TOWN BLVD ,FC 1132,RALEIGH,NC,27616,(919) 792-0111,2013/05/28 00:00:00+00,Food Stand,222,-78.57603863,35.86599856,M
913252,04092021582,HARRIS TEETER #311 DELI,324 VILLAGE WALK   DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 00:00:00+00,Food Stand,230,-78.83920922,35.63987917,M
913253,04092018430,Dogwood Bar & Eatery,610 GLENWOOD AVE,,RALEIGH,NC,27603,(919) 977-3714,2020/09/01 00:00:00+00,Restaurant,231,-78.64681795,35.78777191,M
913254,04092021950,KANGAROO EXPRESS #2720869,8500 HARPS MILL RD ,,RALEIGH,NC,27615-3834,(919) 872-0614,2016/03/16 00:00:00+00,Food Stand,243,-78.60165311,35.89132184,M
913255,04092015470,TIJUANA FLATS #138,1310 E MILLBROOK RD ,,RALEIGH,NC,27609,(919) 790-6409,2009/09/04 00:00:00+00,Restaurant,256,-78.61557526,35.84978294,M
913256,04092025319,Satori Meals @ TKA,2201 S Wilmington ST ,,RALEIGH,NC,27603,(919) 592-2330,2020/09/01 00:00:00+00,Food Stand,257,-78.63902655,35.752054,M
913257,04092021659,WHOLE FOODS #10338 PRODUCE,8710 SIX FORKS  RD ,,RALEIGH,NC,27615,(919) 354-0350,2011/03/11 00:00:00+00,Food Stand,260,-78.65023656,35.89889154,M
913258,04092300243,HARRIS TEETER #311 MEAT MARKET,324 VILLAGE WALK DR ,,HOLLY SPRINGS,NC,27502,(919) 552-1596,2009/09/10 00:00:00+00,Meat Market,261,-78.83920922,35.63987917,M
913259,04092016163,FLYING BURRITO,4800 GROVE BARTON RD ,,RALEIGH,NC,27613,(919) 785-2734,2012/04/18 00:00:00+00,Restaurant,265,-78.71583123,35.87110639,M
913260,04092014520,El Tapatio #4,4511 New Bern AVE,,RALEIGH,NC,27610,(919) 255-9161,2006/03/09 00:00:00+00,Restaurant,277,-78.55938498,35.79875761,M
913261,04092016807,TAZIKI'S RTP,7161 O'KELLY CHAPEL ROAD,,CARY,NC,27519,(919) 371-2693,2014/11/13 00:00:00+00,Restaurant,278,-78.88824644,35.84415135,M
913262,04092017191,TAMARIND,8531-109 BRIER CREEK PKY ,,RALEIGH,NC,27617,(919) 406-3473,2016/03/31 00:00:00+00,Restaurant,27,-78.78606215,35.90557616,M
913263,04092021605,HARRIS TEETER #422 PRODUCE,120-100 ST ALBANS DR ,,RALEIGH,NC,27607,(919) 781-4165,2010/02/03 00:00:00+00,Food Stand,36,-78.63887103,35.83819686,M
913264,04092025276,Square Burgers,225 E MARTIN ST ,,RALEIGH,NC,27601-1316,(919) 896-6600,2019/07/29 00:00:00+00,Food Stand,55,-78.63544584,35.77685868,M
913265,04092025295,PIZZA HUT #1303,1009 E Broad ST ,,FUQUAY-VARINA,NC,27526,(919) 552-0771,2019/12/04 00:00:00+00,Food Stand,289,-78.7826773,35.59366026,M
913266,04092021890,FOOD LION #1496 PRODUCE,1777 W WILLIAMS ST ,,APEX,NC,27502,(919) 362-1986,2015/10/09 00:00:00+00,Food Stand,294,-78.87770701,35.75964934,M
913267,04092017321,WENDY'S #6339,2091 S MAIN ST ,,WAKE FOREST,NC,27587,(919) 569-2133,2016/09/13 00:00:00+00,Restaurant,315,-78.53253168,35.94845207,M
913268,04092016161,HIBACHI 88,3416 POOLE RD ,,RALEIGH,NC,27610,(919) 231-1688,2012/04/18 00:00:00+00,Restaurant,318,-78.57953261,35.76724571,M
913269,04092017180,BOND BROTHERS BEER COMPANY,202 E CEDAR ST ,,CARY,NC,27511,(919) 459-2670,2016/03/11 00:00:00+00,Restaurant,319,-78.77802091,35.78798563,M
913270,04092018352,Prime Barbeque,403 KNIGHTDALE STATION RUN,,KNIGHTDALE,NC,27545,(919) 373-8076,2020/04/22 00:00:00+00,Restaurant,320,-78.47356613,35.79722482,M
913271,04092021953,COSTCO WHOLESALE #1206 ROTISSERIE/DELI,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 00:00:00+00,Food Stand,323,-78.82726689,35.7464159,M
913272,04092021928,CIRCLE K #2723302,1414  E WILLIAMS ST ,,APEX,NC,27539,(919) 362-5131,2016/02/25 00:00:00+00,Food Stand,330,-78.83931692,35.71149361,M
913273,04092016263,DICKEY'S BARBECUE PIT #413,6552 GLENWOOD  AVE ,,RALEIGH,NC,27612,(919) 436-3995,2012/09/20 00:00:00+00,Restaurant,331,-78.70609774,35.86074545,M
913274,04092017179,DUCK DONUTS,8323 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 847-8300,2016/03/08 00:00:00+00,Restaurant,342,-78.68223183,35.90105252,M
913275,04092018228,Hady International Food,717-199 E MARTIN ST ,,RALEIGH,NC,27610,(919) 741-1111,2019/11/13 00:00:00+00,Restaurant,65,-78.62699406,35.77656647,M
913276,04092015099,Subway #41217,8410-140 Louisburg RD ,,RALEIGH,NC,27616,(919) 266-0300,2008/03/25 00:00:00+00,Restaurant,113,-78.51125194,35.89400635,M
913277,04092021606,HARRIS TEETER #422 MM/SEAFOOD,120-100 ST ALBANS DR ,,RALEIGH,NC,27609,(919) 781-4165,2010/02/03 00:00:00+00,Food Stand,122,-78.63887103,35.83819686,M
913278,04092022008,KINGS WOK,8320 Litchford  RD ,SUITE 160,RALEIGH,NC,27615,(919) 878-5252,2017/03/09 00:00:00+00,Food Stand,348,-78.59988229,35.89223772,M
913279,04092017322,BADA BEAN COFFEE & THINGS,938 GATEWAY COMMONS CIR ,,WAKE FOREST,NC,27587,(984) 235-4608,2016/09/16 00:00:00+00,Restaurant,350,-78.4951784,35.96732914,M
913280,04092018422,Moe's Southwest Grill #283,10760 WAKEFIELD COMMONS DR,,RALEIGH,NC,27614,(919) 570-3222,2020/08/19 00:00:00+00,Restaurant,361,-78.5408878,35.94279833,M
913281,04092030426,DeMario's Smokin' Fry Masters (WCID #629),1155 TIMBER DR E,,GARNER,NC,27529-6916,(919) 605-5591,2019/07/02 00:00:00+00,Mobile Food Units,368,-78.57703897,35.68905989,T
913282,04092030454,Porky's Dogs 'n Que (WCID #750),1348 N Main ST ,Tractor Supply M-F 11-2,Fuquay-Varina,NC,27526,(919) 757-9514,2019/12/09 00:00:00+00,Pushcarts,376,-78.77533261,35.59075123,M
913283,04092030437,Captain John's Seafood (WCID #730),308 Southtown Circle,,ROLESVILLE,NC,27591,(919) 717-7598,2019/08/08 00:00:00+00,Mobile Food Units,379,-78.47039569,35.91648377,M
913284,04092015089,BRUEGGERS BAGELS #143,7550-106 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 848-4902,2008/03/28 00:00:00+00,Restaurant,306,-78.67969753,35.88944343,M
913285,04092021888,LOWES FOODS #191 BEEF SHOP,9600 STRICKLAND RD ,,RALEIGH,NC,27615,(919) 847-5661,2015/10/02 00:00:00+00,Food Stand,401,-78.65568292,35.90277448,M
913286,04092021604,The Butchers Market,1225 KILDAIRE FARM RD,,CARY,NC,27511,(919) 465-3082,2010/01/20 00:00:00+00,Food Stand,439,-78.78213078,35.7627377,M
913287,04092016702,China Wok,7440-143 Louisburg RD ,,RALEIGH,NC,27616,(919) 862-9898,2014/05/28 00:00:00+00,Restaurant,365,-78.54049905,35.87559319,M
913288,04092015474,BISCUITVILLE #184,4305 FAYETTEVILLE RD ,,GARNER,NC,27529,(919) 803-8112,2009/09/24 00:00:00+00,Restaurant,380,0,0,U
913289,04092021395,Anton Airfood Commissary Kitchen,1025 Airside DR ,Suite 2101,RALEIGH,NC,27623,(919) 840-0506,2006/07/10 00:00:00+00,Food Stand,381,0,0,U
913290,04092017187,THE 19TH HOLE,1527 TRYON RD ,,RALEIGH,NC,27603,(919) 772-9987,2016/04/01 00:00:00+00,Restaurant,441,-78.66755526,35.73521897,M
913291,04092017181,COSTCO WHOLESALE #1206 FOOD COURT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 00:00:00+00,Restaurant,445,-78.82726689,35.7464159,M
913292,04092017178,RALEIGH RAW,7 W HARGETT ST ,,RALEIGH,NC,27601,(919) 400-0944,2016/03/14 00:00:00+00,Restaurant,446,-78.63957991,35.77810063,M
913293,04092017542,AMERICAN DELI,1601-11 CROSS LINK RD ,,RALEIGH,NC,27610,(919) 516-5111,2017/03/01 00:00:00+00,Restaurant,440,-78.61376,35.75438832,M
913294,04092018368,D's Bottle Shop,13200 Falls of Neuse RD ,STE 115,RALEIGH,NC,27614,(919) 435-7034,2020/05/20 00:00:00+00,Restaurant,447,-78.55981965,35.9407555,M
913295,04092018243,PIZZA HUT #9210,321  N MAIN ST ,,HOLLY SPRINGS,NC,27540,(919) 346-9020,2019/12/03 00:00:00+00,Restaurant,455,-78.83511867,35.65582685,M
913296,04092021891,FOOD LION #669 PRODUCE,405 S MAIN ST ,,ROLESVILLE,NC,27571,(919) 554-4018,2015/10/14 00:00:00+00,Food Stand,476,-78.46472721,35.91731538,T
913297,04092017669,FIRST CHINA RESTAURANT,6452 TRYON  RD ,,CARY,NC,27518,(919) 852-5857,2017/08/25 00:00:00+00,Restaurant,479,-78.7615544,35.74559939,M
913298,04092021899,FOOD LION #193 PRODUCE,5633 CREEDMOOR RD ,,RALEIGH,NC,27612,(919) 781-0597,2015/10/22 00:00:00+00,Food Stand,480,-78.68200551,35.85879117,M
